gxa_property_name	occurrences_in_contrasts	contrast_property_types	example_values	example_urls	example_accessions	current_handling_or_gap	candidate_inference_field
array design	14587	SAMPLE:14587	A-AFFY-2 vs A-AFFY-2; A-AFFY-44 vs A-AFFY-44; A-AFFY-45 vs A-AFFY-45	https://www.ebi.ac.uk/gxa/experiments/E-ATMX-20/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-115/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-116/Results	E-ATMX-20; E-CURD-115; E-CURD-116	SAMPLE values are structured as sample.additionalProperty; FACTOR values, when present, are preserved in condition context.	sample.additionalProperty; variableMeasured.description; measurementDenominator.description
organism	14587	SAMPLE:14587	Arabidopsis thaliana vs Arabidopsis thaliana; Zea mays vs Zea mays; Homo sapiens vs Homo sapiens	https://www.ebi.ac.uk/gxa/experiments/E-ATMX-20/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-113/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-115/Results	E-ATMX-20; E-CURD-113; E-CURD-115	Structured as species; not duplicated into sample.additionalProperty.	species.name
organism part	11875	SAMPLE:8577; FACTOR:3298	leaf vs leaf; whole organism vs whole organism; tassel primordia vs tassel primordia	https://www.ebi.ac.uk/gxa/experiments/E-ATMX-20/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-113/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-113/Results	E-ATMX-20; E-CURD-113; E-CURD-113	Structured as sample.anatomicalStructure and contributes to condition context; not duplicated into sample.additionalProperty.	sample.anatomicalStructure.name; variableMeasured.description; measurementDenominator.description
genotype	8487	FACTOR:4464; SAMPLE:4023	35S:ZAT10 vs wild type genotype; fzt mutation vs control; EXPA30::GFP vs wild type genotype	https://www.ebi.ac.uk/gxa/experiments/E-ATMX-20/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-113/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-28/Results	E-ATMX-20; E-CURD-113; E-CURD-28	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
age	7090	SAMPLE:6642; FACTOR:448	2 week vs 2 week; 4.5 week vs 4.5 week; 6 to 8 week vs 6 to 8 week	https://www.ebi.ac.uk/gxa/experiments/E-CURD-113/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-113/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-116/Results	E-CURD-113; E-CURD-113; E-CURD-116	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
time	5574	FACTOR:5500; SAMPLE:74	2 day vs 2 day; 0 day vs 0 day; 0.5 day vs 0.5 day	https://www.ebi.ac.uk/gxa/experiments/E-CURD-37/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-37/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-40/Results	E-CURD-37; E-CURD-37; E-CURD-40	FACTOR values are preserved in variableMeasured/measurementDenominator context; SAMPLE values are structured as sample.additionalProperty. observationPeriod remains a possible future refinement.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty; observationPeriod.name
sex	5399	SAMPLE:5231; FACTOR:168	female vs female; female, male vs female, male; male vs male	https://www.ebi.ac.uk/gxa/experiments/E-CURD-116/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-149/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-50/Results	E-CURD-116; E-CURD-149; E-CURD-50	Structured as sample.sex when the value is a single sex value; mixed comma lists are skipped and not duplicated.	sample.sex
strain	5220	SAMPLE:4891; FACTOR:329	nu/nu vs nu/nu; Crj:CD(SD)IGS vs Crj:CD(SD)IGS; Crj:CD(SD)IGS vs Crj:CD(SD)IGS	https://www.ebi.ac.uk/gxa/experiments/E-CURD-116/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-50/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-51/Results	E-CURD-116; E-CURD-50; E-CURD-51	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
compound	5065	FACTOR:5045; SAMPLE:20	HhAntag 75 milligram per kilogram vs none; HhAntag 75 milligram per kilogram vs none; sodium dihydrogenphosphate 0.323 millimolar vs none	https://www.ebi.ac.uk/gxa/experiments/E-CURD-115/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-116/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-48/Results	E-CURD-115; E-CURD-116; E-CURD-48	FACTOR values are preserved in condition context; SAMPLE values are structured as sample.additionalProperty.	variableMeasured.description; measurementDenominator.description; sample.additionalProperty
developmental stage	4916	SAMPLE:4585; FACTOR:331	mid rosette growth vs mid rosette growth; seedling development stage vs seedling development stage; sporophyte vegetative stage vs sporophyte vegetative stage	https://www.ebi.ac.uk/gxa/experiments/E-ATMX-20/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-113/Results; https://www.ebi.ac.uk/gxa/experiments/E-CURD-113/Results	E-ATMX-20; E-CURD-113; E-CURD-113	Structured as sample.developmentalStage; not duplicated into sample.additionalProperty.	sample.developmentalStage.name
